semantic_id,dataset,d,audit_n_per_client,n_cells,n_cell_replicates,certified_count,certification_rate,effective_certified_acceptance,conditional_certified_acceptance
cifar100_proser_fedavg__split02__seed1__d5.0,cifar100,5.0,1028,1.0,200.0,172.0,0.86,0.10597267252538928,0.12322403782022008
cifar100_proser_fedavg__split02__seed2__d0.1,cifar100,0.1,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed2__d0.1,cifar100,0.1,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed2__d0.1,cifar100,0.1,514,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed2__d0.1,cifar100,0.1,1028,1.0,200.0,30.0,0.15,0.008309777878033595,0.055398519186890614
cifar100_proser_fedavg__split02__seed2__d0.5,cifar100,0.5,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed2__d0.5,cifar100,0.5,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed2__d0.5,cifar100,0.5,514,1.0,200.0,8.0,0.04,0.0030640540491624737,0.07660135122906185
cifar100_proser_fedavg__split02__seed2__d0.5,cifar100,0.5,1028,1.0,200.0,114.0,0.57,0.04810729851327604,0.08439876932153692
cifar100_proser_fedavg__split02__seed2__d5.0,cifar100,5.0,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed2__d5.0,cifar100,5.0,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed2__d5.0,cifar100,5.0,514,1.0,200.0,34.0,0.17,0.016952809143941875,0.09972240672906987
cifar100_proser_fedavg__split02__seed2__d5.0,cifar100,5.0,1028,1.0,200.0,192.0,0.96,0.12888837079236842,0.13425871957538377
cifar100_proser_fedavg__split02__seed3__d0.1,cifar100,0.1,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed3__d0.1,cifar100,0.1,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed3__d0.1,cifar100,0.1,514,1.0,200.0,3.0,0.015,0.0005933856202847291,0.03955904135231527
cifar100_proser_fedavg__split02__seed3__d0.1,cifar100,0.1,1028,1.0,200.0,105.0,0.525,0.019886926513625728,0.03787986002595377
cifar100_proser_fedavg__split02__seed3__d0.5,cifar100,0.5,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed3__d0.5,cifar100,0.5,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed3__d0.5,cifar100,0.5,514,1.0,200.0,59.0,0.295,0.019840843950635463,0.06725709813774733
cifar100_proser_fedavg__split02__seed3__d0.5,cifar100,0.5,1028,1.0,200.0,192.0,0.96,0.10752075520748682,0.11200078667446543
cifar100_proser_fedavg__split02__seed3__d5.0,cifar100,5.0,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed3__d5.0,cifar100,5.0,256,1.0,200.0,1.0,0.005,0.00035039855266536196,0.0700797105330724
cifar100_proser_fedavg__split02__seed3__d5.0,cifar100,5.0,514,1.0,200.0,54.0,0.27,0.02397105155676465,0.08878167243246166
cifar100_proser_fedavg__split02__seed3__d5.0,cifar100,5.0,1028,1.0,200.0,188.0,0.94,0.1242008748748807,0.13212859029242627
cifar100_proser_fedavg__split02__seed4__d0.1,cifar100,0.1,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed4__d0.1,cifar100,0.1,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed4__d0.1,cifar100,0.1,514,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed4__d0.1,cifar100,0.1,1028,1.0,200.0,4.0,0.02,0.0003732564904434578,0.01866282452217289
cifar100_proser_fedavg__split02__seed4__d0.5,cifar100,0.5,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed4__d0.5,cifar100,0.5,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed4__d0.5,cifar100,0.5,514,1.0,200.0,41.0,0.205,0.01581677303146336,0.07715499039738224
cifar100_proser_fedavg__split02__seed4__d0.5,cifar100,0.5,1028,1.0,200.0,186.0,0.93,0.1041497272801734,0.11198895406470259
